glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,predicted_taxonomy,glycan_type,immunogenicity,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition,readable
ManNAc(a1-3)Gal(b1-4)LDManHep(a1-5)KdoOP,['Pseudoalteromonas_haloplanktis'],['Pseudoalteromonas'],['Pseudoalteromonadaceae'],['Alteromonadales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True
Rha(a1-999)Araf(a1-999)Rha(a1-999)Glc,[],[],[],[],[],[],[],[],[],G24822WC,Plantae,,,[],[],[],[],[],[],[],[],[],[],{},True
Neu5Ac(a2-3)Gal6S(b1-4)[Fuc(a1-3)]GlcNAc6S,['Mus_musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],[''],G46799JK,,,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 1, 'dHex': 1, 'HexNAc': 1, 'S': 2}",True
Glc(a1-999)Gal(a1-999)Gal(a1-999)Gal(a1-999)Glc(a1-999)Glc,[],[],[],[],[],[],[],[],[],G81689HP,Bacteria,,,[],[],[],[],[],[],[],[],[],[],{'Hex': 6},True
Rha(a1-3)[GalNAc(b1-2)]Rha(a1-2)Rha,['Aggregatibacter_actinomycetemcomitans'],['Aggregatibacter'],['Pasteurellaceae'],['Pasteurellales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,1.0,[],[],[],[],[],[],[],[],[],[],"{'dHex': 3, 'HexNAc': 1}",True
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/35183770/'],,,N,,[],[],[],[],[],[],['sperm'],['CL:0000019'],['https://pubmed.ncbi.nlm.nih.gov/35183770/'],['Homo_sapiens'],"{'dHex': 2, 'Hex': 5, 'HexNAc': 4}",True
Neu5Gc9Ac(a1-999)Gal(a1-999)Glc,[],[],[],[],[],[],[],[],[],G95568IH,Animalia,,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Gc': 1, 'Hex': 2, 'Ac': 1}",True
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-998)[Man(a1-998)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Riftia_pachyptila', 'Trichoderma_reesei']","['Riftia', 'Trichoderma']","['Siboglinidae', 'Hypocreaceae']","['Canalipalpata', 'Hypocreales']","['Polychaete', 'Sordariomycetes']","['Annelida', 'Ascomycota']","['Animalia', 'Fungi']","['Eukarya', 'Eukarya']","['https://pubmed.ncbi.nlm.nih.gov/9621107/', 'https://pubmed.ncbi.nlm.nih.gov/15070859/']",G66998XX,,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 9, 'HexNAc': 2}",True
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(a1-999)Gal(b1-4)GlcNAc(a1-999)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],[''],G63794QO,,O,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 4, 'HexNAc': 4}",True
Neu5Ac(a2-998)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-998)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/35183770/'],,,N,,[],[],[],[],[],[],['sperm'],['CL:0000019'],['https://pubmed.ncbi.nlm.nih.gov/35183770/'],['Homo_sapiens'],"{'Neu5Ac': 2, 'Hex': 7, 'dHex': 2, 'HexNAc': 6}",True
